Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization,Debt to equity
Eureka Forbes,543482,EUREKAFORB,INE0KCE01017,Consumer Durables,Household Appliances,441.80,90.83,193.49,0.00,4301.76,0.00,25.55,6761.88,5626.41,0.00,160.80,5485.79,4.32,86.29,1191.74,1254.75,0.00,0.00,88.52,6761.88,-63.01,28.35,378.27,369.02,10.00,229.27,33.01,286.94,19.34,38.71,-431.94,5456.95,5563.13,1.22,-555.03,-0.96,3.00,0.03,252.68,1.52,4.37,0.00,5498.15,0.24,0.25,8544.55,0.02
Euro Pratik Sale,544519,EUROPRATIK,INE198501012,Consumer Durables,"Furniture, Home Furnishing",212.65,22.47,1.22,0.00,256.83,0.00,19.43,322.49,38.08,0.00,8.04,29.34,0.00,33.24,282.01,38.86,0.00,1.38,3.53,322.49,243.15,17.18,77.02,115.35,1.00,9.22,3.13,15.14,0.20,13.46,101.81,25.26,32.89,0.00,,,,,,,,,,,,2173.32,0.08
Everest Kanto,532684,EKC,INE184H01027,Industrial Manufacturing,Industrial Products,100.70,197.16,22.44,0.00,1264.77,140.49,2.73,1710.52,1141.78,0.00,725.22,441.32,203.47,66.06,977.81,286.79,0.00,60.03,369.87,1710.52,691.02,26.37,469.37,251.01,2.00,71.23,13.20,65.66,11.22,41.28,586.50,410.79,1093.92,82.25,511.28,191.70,283.42,160.12,113.74,294.04,376.96,590.38,333.66,338.63,340.48,1129.94,0.15
Excel Industries,500650,EXCELINDUS,INE369A01029,Chemicals & Petrochemicals,Specialty Chemicals,854.00,11.23,6.29,0.00,1801.57,0.05,12.23,2252.78,659.87,0.00,201.29,456.34,28.54,1280.12,631.51,250.52,42.23,621.74,2.29,2252.78,380.99,11.15,182.74,213.70,5.00,36.74,2.95,198.70,1.26,1.78,117.72,427.51,599.77,18.52,264.05,117.44,87.09,39.68,7.41,24.12,10.01,94.85,426.88,376.41,202.98,1073.53,0.01
Excelsoft Tech.,544617,EXCELSOFT,INE606N01019,IT - Services,IT Enabled Services,73.71,44.89,115.08,0.00,287.61,26.59,8.54,489.92,263.60,0.00,128.89,130.42,0.00,0.00,347.14,71.55,0.00,0.00,306.55,489.92,275.59,7.31,0.00,55.68,10.00,257.32,0.00,8.72,0.16,78.36,10.99,335.96,519.85,0.00,-28.31,-35.69,,,131.01,168.34,,,330.12,346.09,,848.29,0.12
Exhicon Events,543895,,INE0O8901016,Other Consumer Services,Other Consumer Services,417.40,8.72,12.96,0.00,145.56,0.00,0.00,196.55,27.58,0.00,2.29,61.01,0.00,19.16,106.91,28.00,6.37,0.00,0.00,196.55,78.91,0.00,2.64,38.49,10.00,28.07,0.00,10.66,1.30,0.74,72.40,13.78,15.51,0.00,0.09,,,,1.06,,,,6.34,,,616.36,0.05
Exide Inds.,500086,EXIDEIND,INE302A01020,Auto Components,Auto Components & Equipments,296.25,1644.67,85.00,0.00,14639.69,1555.95,460.76,21815.99,7488.74,0.00,3553.40,4082.56,3865.11,7429.76,6649.92,5459.57,0.00,0.00,267.18,21815.99,1190.35,448.85,3889.28,1531.15,1.00,127.28,221.55,3320.33,85.00,1122.87,1545.06,3852.84,6890.95,1351.98,1591.87,1163.40,1080.71,739.11,519.51,196.50,59.71,57.66,3361.23,3248.50,2680.97,25181.25,0.11
Exim Routes,,EXIMROUTES,INE19I001020,"Paper, Forest & Jute Products",Paper & Paper Products,131.00,8.71,6.89,0.00,17.57,0.33,4.28,54.23,0.76,0.00,0.40,6.93,0.00,0.00,47.16,28.42,0.00,0.00,7.70,54.23,18.74,0.00,2.15,32.73,5.00,2.05,0.36,14.56,0.01,4.46,4.43,1.17,1.73,0.16,1.18,,,,1.47,,,,0.24,,,245.65,0.36
Expleo Solutions,533121,EXPLEOSOL,INE201K01015,IT - Services,IT Enabled Services,705.70,20.16,15.52,0.00,688.13,0.00,29.80,915.94,251.59,0.00,139.01,91.21,0.00,0.00,654.66,180.13,0.00,0.00,124.46,915.94,474.53,20.16,0.00,248.88,10.00,303.06,0.64,82.85,1.55,26.06,479.04,131.42,213.20,4.54,273.94,124.05,100.70,82.04,14.71,0.00,0.00,9.63,108.31,25.99,22.36,1095.23,0.03
Fabtech Tech.,544558,FABTECH,INE0HF201011,Healthcare Services,"Healthcare Research, Analytics & Technology",140.75,42.12,44.45,0.00,162.44,34.74,49.08,417.51,104.75,0.00,10.62,79.00,0.00,25.41,299.21,194.84,0.00,6.05,32.56,417.51,104.37,27.73,25.52,154.66,10.00,41.46,61.08,49.70,0.29,12.72,85.27,22.09,30.25,0.00,45.88,19.56,,,21.06,0.82,,,4.90,2.17,,625.62,0.22
Fabtech Techn.,544332,,INE0HSD01011,Industrial Manufacturing,Industrial Products,230.25,10.02,12.32,0.00,82.76,0.99,0.00,143.85,12.28,0.00,7.97,10.36,0.00,9.55,123.73,41.64,0.00,21.13,2.33,143.85,82.09,0.00,27.75,65.15,10.00,11.13,0.00,18.97,0.28,5.75,47.13,5.11,12.55,0.00,34.02,29.49,,,8.50,10.24,,,4.38,4.20,,283.66,0.11
Fairchem Organic,543252,FAIRCHEMOR,INE0DNW01011,Chemicals & Petrochemicals,Specialty Chemicals,472.00,54.40,13.02,0.00,281.02,63.03,0.00,388.39,262.14,0.00,60.86,199.46,13.69,0.00,159.94,72.40,0.00,0.00,0.78,388.39,87.54,0.00,88.34,62.51,10.00,1.31,0.00,10.39,1.30,7.32,106.78,191.22,241.72,6.02,69.87,11.82,,,62.03,66.68,,,140.58,126.34,,614.58,0.19
FDC,531599,FDC,INE258B01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,325.15,20.71,16.28,0.00,2415.11,0.00,21.17,2885.55,1181.74,0.00,330.19,841.59,163.19,1006.57,1133.61,380.03,0.00,1023.75,107.54,2885.55,753.58,20.71,435.10,164.25,1.00,36.45,7.08,214.08,16.28,20.52,305.85,680.26,987.18,261.48,227.26,178.55,113.72,41.67,32.20,15.08,0.69,2.07,705.06,673.50,673.64,5293.77,0.01
Federal-Mogul Go,505744,FMGOETZE,INE529A01010,Auto Components,Auto Components & Equipments,370.00,2.05,55.63,0.00,1304.13,0.00,3.03,1852.40,1776.15,0.00,1260.46,487.17,42.42,1.84,1258.72,398.93,0.00,0.00,104.30,1852.40,859.79,2.05,207.05,367.68,10.00,656.97,1.73,319.30,5.56,7.87,565.05,533.90,1734.15,55.26,352.71,305.05,201.21,37.85,8.93,1.47,24.53,195.32,528.28,554.95,553.96,2058.29,0.00
Felix Industries,,FELIX,INE901X01013,Other Utilities,Water Supply & Management,165.00,18.80,17.21,0.00,125.88,12.07,5.69,212.90,59.99,0.00,2.04,61.45,19.51,10.45,119.76,44.99,0.53,0.00,0.00,212.90,74.77,0.00,18.86,19.32,10.00,12.11,2.22,26.50,1.24,2.85,54.16,6.62,7.89,3.68,,,,,,,,,,,,283.91,0.13
Fermenta Biotec.,506414,,INE225B01021,Pharmaceuticals & Biotechnology,Pharmaceuticals,345.00,111.89,14.44,0.00,376.21,109.40,5.54,651.40,371.50,0.00,144.95,219.24,25.73,0.47,336.04,223.82,0.00,0.00,1.63,651.40,112.22,5.01,139.36,104.90,5.00,51.87,7.66,80.73,2.94,138.77,68.49,268.54,402.25,1.62,106.90,89.41,77.65,-6.24,239.19,223.98,173.13,70.84,298.59,200.15,177.37,1015.37,0.29
Fiem Industries,532768,FIEMIND,INE737H01014,Auto Components,Auto Components & Equipments,1965.15,61.53,26.32,0.00,1054.02,0.00,22.09,1567.31,1104.54,0.00,551.19,573.09,9.32,0.04,941.58,395.49,0.00,0.00,87.68,1567.31,546.09,61.53,248.38,330.82,10.00,270.69,37.33,284.54,2.63,23.11,412.22,495.84,1007.04,5.31,106.37,15.37,-19.55,-38.54,45.67,126.54,158.67,117.12,507.94,590.62,553.79,5172.21,0.06
Finolex Cables,500144,FINCABLES,INE235A01022,Industrial Products,Cables - Electricals,845.00,21.52,30.59,0.00,5671.99,0.00,19.99,6656.67,940.95,0.00,357.53,576.63,302.86,4280.99,3939.26,513.43,0.00,3616.33,357.40,6656.67,3425.83,20.65,794.03,228.66,2.00,54.94,45.05,268.30,15.29,18.06,1032.43,444.50,809.30,167.51,1676.29,1583.70,569.20,,8.79,7.94,0.84,,380.18,386.53,408.99,12923.38,0.00
Finolex Inds.,500940,FINPIPE,INE183A01024,Industrial Products,Plastic Products - Industrial,170.15,21.22,123.67,0.00,5665.64,0.00,236.75,6608.82,2766.80,0.00,1758.40,1015.17,40.70,4238.79,3162.08,597.74,393.52,2144.05,62.54,6608.82,2564.34,11.10,748.93,325.25,2.00,79.05,10.75,311.32,62.05,393.95,190.71,1055.37,2708.99,18.87,294.59,408.39,263.37,-25.76,278.03,282.67,100.71,637.06,993.23,1016.89,884.24,10557.41,0.00
Flair Writing,544030,FLAIR,INE00Y201027,Household Products,Stationary,300.10,58.93,52.70,0.00,1025.79,9.62,52.21,1310.27,645.53,0.00,218.36,442.24,45.80,84.24,790.32,170.97,0.00,0.00,17.30,1310.27,619.35,30.90,335.01,279.83,5.00,38.59,0.00,74.00,10.54,68.85,574.34,327.31,501.02,20.17,204.92,,171.63,,126.33,,89.44,,196.01,,143.83,3162.92,0.05
Fluidomat,522017,,INE459C01016,Industrial Manufacturing,Industrial Products,580.00,0.00,4.93,0.00,80.12,0.00,0.00,97.69,25.10,0.00,13.35,11.23,2.15,11.73,56.12,11.30,0.00,0.00,3.93,97.69,44.82,0.00,4.56,18.07,10.00,4.62,2.76,2.91,0.49,0.00,23.70,7.96,20.37,0.27,14.97,12.46,12.52,17.19,0.00,0.84,0.00,0.15,8.39,6.88,7.36,285.97,0.00
FlySBS Aviation,,FLYSBS,INE0VCK01011,Transport Services,Airline,400.05,22.55,12.75,0.00,245.56,7.85,10.07,301.74,6.00,0.00,0.58,7.40,0.00,0.00,194.90,27.61,0.00,0.00,0.60,301.74,167.29,0.00,14.50,30.49,10.00,92.80,0.50,2.59,,2.55,23.40,5.20,5.51,0.00,2.37,,,,4.54,,,,0.08,,,692.24,0.09
Focus Lighting,,FOCUS,INE593W01028,Consumer Durables,Consumer Electronics,65.62,12.73,13.45,0.00,131.27,15.94,1.24,210.37,61.80,0.00,23.46,35.83,27.55,3.41,139.22,51.92,3.23,0.00,0.00,210.37,87.30,0.00,51.40,53.30,2.00,19.22,3.01,31.78,6.63,12.85,94.61,21.46,40.12,19.14,21.42,19.43,13.04,,2.57,4.39,2.21,,14.60,13.27,3.26,442.57,0.09
Forbes & Co,502865,,INE518A01013,Consumer Durables,Household Appliances,324.00,6.28,12.90,0.00,217.05,0.04,5.10,301.53,43.67,0.00,16.28,27.45,0.07,208.00,90.36,47.12,0.00,0.00,110.39,301.53,43.24,6.28,8.71,5.74,10.00,27.31,17.06,22.58,1.29,5.13,-68.20,27.37,42.15,0.00,-168.68,-875.55,-185.66,25.78,288.34,1137.37,1189.45,1180.06,158.22,1027.19,1139.40,417.95,0.03
Forbes Precision,544186,,INE0TT901016,Industrial Manufacturing,Industrial Products,115.90,19.51,51.59,0.00,100.91,19.68,2.80,227.37,259.39,0.00,149.37,113.71,1.32,24.69,103.42,55.35,0.00,0.00,0.00,227.37,48.07,2.19,37.76,29.79,10.00,7.03,0.44,30.51,,8.83,45.32,89.32,232.18,4.69,,,,,,,,,,,,597.99,0.13
Fortis Health.,532843,FORTIS,INE061F01013,Healthcare Services,Hospital,798.25,3194.65,754.96,0.00,8674.10,2192.51,282.60,15012.85,12679.11,0.00,2255.33,11702.98,306.07,220.28,1660.48,1722.27,0.00,139.67,2740.83,15012.85,-61.79,562.35,127.34,1016.78,10.00,418.54,0.00,956.33,75.50,1155.02,-1749.58,9873.65,11905.19,541.97,-136.17,-1638.45,-1187.59,-581.74,1254.93,1594.28,1962.19,1784.27,9415.70,8802.35,4992.05,60264.50,0.34
Fractal Analyt.,544700,FRACTAL,INE212S01015,IT - Software,Computers - Software & Consulting,796.45,429.50,14.20,0.50,1750.10,274.70,154.30,2801.50,1030.40,0.00,343.40,687.00,13.70,993.60,1063.20,574.70,0.00,0.00,13.90,2801.50,488.50,162.80,0.00,584.80,1.00,288.30,0.80,62.00,3.29,363.70,315.50,626.20,911.40,5.90,384.60,,,,301.35,,,,551.90,,,13696.15,0.25
Frontier Springs,522195,,INE572D01014,Auto Components,Auto Components & Equipments,1355.60,6.54,3.96,0.00,151.41,4.06,1.88,182.27,89.46,0.00,33.15,62.61,0.30,30.08,88.06,19.18,0.00,0.00,0.00,182.27,68.88,0.00,40.53,31.59,10.00,13.06,0.56,10.18,1.18,3.72,27.91,45.14,74.99,1.59,19.11,17.00,6.03,6.36,3.37,8.87,12.33,9.90,36.51,33.15,28.93,1601.72,0.04
G M Breweries,507488,GMBREW,INE075D01018,Beverages,Breweries & Distilleries,995.20,0.00,22.86,0.00,960.85,0.00,0.00,1100.96,343.85,0.00,52.62,297.20,0.00,602.11,158.37,115.75,6.39,0.00,0.00,1100.96,42.62,0.00,37.36,2.72,10.00,108.40,2.50,18.75,2.28,0.00,27.89,239.51,286.95,6.07,47.55,12.25,-9.59,-15.96,0.00,0.00,0.00,32.10,136.83,159.04,110.85,2273.71,0.00
G M D C,532181,GMDCLTD,INE131A01031,Minerals & Mining,Industrial Minerals,574.60,278.24,63.60,0.00,6659.14,0.00,126.44,8269.30,2963.17,0.00,1410.15,2001.56,619.12,480.68,3027.82,584.57,0.00,0.00,1137.33,8269.30,2443.25,2.97,95.77,92.60,2.00,595.29,14.97,151.41,31.80,2.82,2043.50,1550.76,2878.11,292.07,1238.29,1173.63,1059.98,955.53,0.55,0.00,0.00,678.72,1510.35,2058.19,2146.71,18272.28,0.04
G N F C,500670,GNFC,INE113A01013,Chemicals & Petrochemicals,Commodity Chemicals,393.60,13.00,147.00,0.00,8501.00,99.16,6.44,10864.00,8426.93,0.00,5333.43,2981.00,754.00,2370.00,4985.00,967.00,0.00,478.92,360.71,10864.00,4018.00,5.00,1050.00,383.00,10.00,836.00,0.00,350.00,14.69,2.73,2780.39,3237.60,8288.97,288.52,3482.63,1850.38,925.95,133.72,1.77,860.49,303.03,3843.69,3578.24,3810.46,4161.12,5783.59,0.00
G S F C,500690,GSFC,INE026A01025,Fertilizers & Agrochemicals,Fertilizers,148.95,1.39,79.70,0.00,12385.46,0.00,1.76,13134.00,3880.60,0.00,1376.42,2874.49,422.71,5135.19,4265.25,-264.95,0.00,3948.43,805.90,13134.00,4530.20,1.39,1547.85,514.67,2.00,833.91,16.24,678.56,39.85,5.11,4397.57,2548.58,3746.06,235.83,3225.14,2105.32,1870.18,1752.90,5.50,1559.08,1092.93,744.35,2679.97,2901.90,2107.96,5935.32,0.00
Gabriel India,505714,GABRIEL,INE524A01029,Auto Components,Auto Components & Equipments,836.10,29.13,14.36,0.00,1221.41,0.00,8.71,2010.57,861.52,0.00,382.08,580.00,49.60,31.14,1309.22,719.93,29.45,0.00,39.47,2010.57,589.29,5.96,309.02,645.85,1.00,119.59,0.00,630.67,14.36,10.26,384.89,434.05,759.42,54.78,278.15,190.27,159.72,58.76,12.90,8.91,10.40,13.29,385.44,348.63,298.73,12010.07,0.02
GAIL (India),532155,GAIL,INE129A01019,Gas,Gas Transmission/Marketing,138.45,22433.31,6575.10,0.00,81566.35,11511.51,10083.87,136471.80,80297.20,0.00,21461.69,59797.00,28037.78,24172.26,21971.10,24260.89,0.00,25132.46,7526.93,136471.80,-2289.79,4955.17,5739.23,10014.86,10.00,1744.98,0.00,6664.23,657.51,21793.77,-1350.95,55188.50,73660.18,23626.78,1238.63,-799.66,-660.81,-463.97,9215.72,6911.51,3876.42,18291.35,44572.06,38229.62,30480.29,91032.26,0.25
Gala Precis. Eng,544244,GALAPREC,INE0RE001014,Industrial Manufacturing,Industrial Products,725.95,23.94,12.70,0.00,259.03,23.12,1.14,343.33,116.46,0.00,32.78,93.42,12.91,0.00,223.69,63.34,0.00,0.00,8.62,343.33,160.35,0.95,95.37,62.67,10.00,48.46,0.00,20.80,1.01,56.52,46.63,64.39,89.14,6.56,28.62,15.50,,,56.89,61.00,,,56.30,55.92,,929.04,0.09
Galaxy Surfact.,540935,GALAXYSURF,INE600K01018,Chemicals & Petrochemicals,Specialty Chemicals,1591.15,267.64,35.45,0.00,2499.43,141.84,68.44,3777.53,1952.42,0.00,921.98,1028.60,289.86,385.18,2361.52,1126.40,0.00,0.00,41.25,3777.53,1235.12,73.50,822.59,718.70,10.00,267.48,157.31,692.08,3.55,187.42,900.87,972.97,1802.58,158.50,704.30,359.98,289.45,40.36,420.68,395.88,347.96,451.04,760.41,747.83,446.76,5641.38,0.11
Gallantt Ispat L,532726,GALLANTT,INE297H01019,Industrial Products,Iron & Steel Products,542.70,656.80,241.28,0.00,2863.90,269.05,108.61,4103.19,2401.00,0.00,593.76,1985.88,172.09,115.64,1823.26,717.68,0.00,22.59,106.31,4103.19,1105.58,0.00,470.11,132.12,10.00,253.18,17.37,0.00,24.13,461.91,578.03,1894.03,2370.43,121.62,384.78,49.73,92.73,45.38,386.55,122.76,55.68,91.09,1452.32,197.86,218.85,13094.31,0.21
Game Changers,544594,,INE1GUJ01014,Textiles & Apparels,Other Textile Products,112.00,13.67,12.52,0.00,16.80,4.90,4.84,58.77,8.22,0.00,1.99,6.20,0.00,0.00,51.91,25.96,0.00,0.00,4.05,58.77,25.95,0.00,14.80,34.32,10.00,0.17,0.03,7.91,0.00,10.01,7.46,5.68,6.65,0.00,0.96,,,,4.76,,,,0.62,,,200.40,0.47
Gandhar Oil Ref.,544029,GANDHAR,INE717W01049,Petroleum Products,Lubricants,128.00,331.47,19.58,0.00,1270.31,181.59,123.01,2196.73,555.38,0.00,105.38,455.83,31.79,2.82,1684.29,680.14,0.00,0.00,331.35,2196.73,1004.15,137.80,618.85,733.93,2.00,124.06,12.38,430.50,9.79,270.99,935.94,360.68,444.93,8.58,368.42,260.25,,,190.78,145.69,,,189.70,96.53,,1252.84,0.26
Gandhi Spl. Tube,513108,GANDHITUBE,INE524B01027,Industrial Products,Iron & Steel Products,808.00,0.11,6.08,0.00,280.77,0.00,0.00,311.70,67.57,0.00,24.53,42.44,0.00,188.40,84.76,13.75,0.00,30.51,2.09,311.70,71.01,0.11,46.96,25.07,5.00,2.75,0.73,2.41,1.22,0.00,56.73,42.71,66.29,0.00,36.74,39.45,38.03,40.40,0.00,0.00,0.00,0.00,46.74,48.40,51.39,981.88,0.00
Ganesh Benzopl.,500153,GANESHBE,INE388A01029,Oil,Oil Storage & Transportation,74.83,52.13,7.20,0.00,572.87,19.29,44.47,767.57,809.76,0.00,419.24,395.79,7.08,21.31,264.06,105.42,0.00,0.00,67.10,767.57,158.64,45.54,39.51,66.70,1.00,99.35,3.50,30.90,7.20,56.77,98.63,334.78,736.79,46.29,40.78,3.91,-21.84,,25.65,61.78,86.07,,232.80,164.51,151.84,538.69,0.09
Ganesh Green,,GGBL,INE0R8C01018,Electrical Equipment,Other Electrical Equipment,249.70,34.56,24.80,0.00,213.21,41.90,5.67,429.93,60.06,0.00,11.58,46.59,0.00,0.01,338.88,176.58,0.00,0.00,67.85,429.93,162.30,0.00,156.12,62.58,10.00,49.44,13.21,84.55,1.82,54.12,18.14,20.81,27.05,0.00,21.47,,,,22.47,,,,1.62,,,619.29,0.15
Ganesh Housing,526367,GANESHHOU,INE460C01014,Realty,"Residential, Commercial Projects",573.80,77.23,83.39,241.70,2132.67,6.52,0.00,2630.26,463.94,0.00,28.50,435.09,448.12,0.00,1744.74,409.12,0.00,0.00,153.43,2630.26,1335.62,0.00,488.48,546.91,10.00,5.18,49.59,31.52,8.34,246.84,980.89,437.68,460.27,148.37,356.03,739.66,1185.69,765.68,141.89,533.14,706.70,592.87,207.78,223.08,223.49,4784.76,0.03
Ganesh Infra.,,GANESHIN,INE0TVT01024,Construction,Civil Construction,78.00,74.75,21.36,0.00,190.90,36.54,1.31,369.08,21.15,0.00,1.49,19.66,0.00,65.22,340.59,152.37,36.03,0.00,0.00,369.08,188.22,0.00,49.46,188.81,5.00,1.25,3.13,66.32,1.10,30.72,5.26,9.27,9.35,0.00,,,,,,,,,,,,333.22,0.35
Ganesha Ecosphe.,514167,GANECOS,INE845D01014,Textiles & Apparels,Other Textile Products,763.15,545.37,26.80,0.00,1235.38,551.72,4.43,2034.00,1275.08,0.00,348.84,914.56,114.86,37.21,848.65,338.84,0.00,0.00,28.24,2034.00,509.81,0.00,355.60,179.69,10.00,97.17,4.05,71.40,2.53,398.80,542.39,780.22,1075.04,71.08,148.70,155.58,,,357.82,91.76,,,300.26,303.42,,2044.93,0.43
Garuda Cons,544271,GARUDA,INE0JVO01026,Construction,Civil Construction,152.00,0.08,46.52,0.00,340.45,0.11,0.00,572.83,12.80,0.00,2.22,1.20,2.21,50.72,497.89,185.70,0.00,0.00,0.00,572.83,312.19,0.00,12.06,292.87,5.00,14.92,27.48,118.69,7.47,0.15,92.08,1.65,3.54,2.21,21.79,22.77,,,11.99,30.91,,,2.15,1.36,,1414.24,0.00
Garware Tech.,509557,GARFIBRES,INE276A01018,Textiles & Apparels,Other Textile Products,599.00,131.82,99.27,0.00,1199.08,61.42,3.44,1877.29,443.99,0.00,167.02,394.86,0.51,551.87,1181.98,489.83,255.19,0.00,9.02,1877.29,692.15,2.99,371.53,305.12,10.00,104.32,27.36,251.42,10.19,123.11,303.90,261.77,401.75,0.00,238.17,140.19,81.54,141.87,79.57,132.54,138.39,39.72,240.02,244.50,221.23,5946.00,0.10
Gateway Distri,543489,GATEWAY,INE079J01017,Transport Services,Logistics Solution Provider,49.50,716.34,499.64,0.00,1768.51,370.60,349.59,3529.73,3967.97,0.00,1358.03,2657.76,10.52,136.09,499.85,410.07,0.00,0.00,6036.70,3529.73,89.78,363.57,13.89,287.47,10.00,8.20,0.00,191.08,49.96,510.11,-98.67,1921.72,2597.64,36.47,-2.55,-135.29,,,619.43,949.68,,,1789.83,1963.35,,2473.22,0.32
Gaudium IVF,544709,GAUDIUMIVF,INE0P8B01020,Healthcare Services,Healthcare Service Provider,72.41,24.10,30.70,0.00,28.16,2.07,18.54,106.62,23.76,0.00,5.64,29.77,0.00,5.00,67.65,27.87,0.00,0.00,0.00,106.62,39.78,1.59,4.82,50.97,5.00,6.62,0.00,13.30,0.10,17.40,9.83,18.68,22.27,0.13,7.64,,,,5.95,,,,3.89,,,527.03,0.41
Gayatri Rubbers,,GRCL,INE0LVM01018,Industrial Products,Rubber,358.30,6.50,5.74,0.00,11.01,0.79,0.00,28.40,3.52,0.00,1.04,2.92,0.00,0.00,25.32,11.07,0.00,0.00,0.00,28.40,14.25,0.00,14.55,10.19,10.00,0.16,0.00,3.33,0.57,0.52,9.27,2.31,2.87,0.00,,,,,,,,,,,,205.59,0.39
GE Power,532309,GVPIL,INE878A01011,Electrical Equipment,Heavy Electrical Equipment,407.05,20.12,67.23,0.00,319.17,0.00,28.83,1921.27,166.80,0.00,104.13,43.73,3.40,34.84,1752.02,1491.15,0.00,0.00,427.42,1921.27,260.87,20.12,80.07,1083.85,10.00,108.65,176.40,500.63,6.72,162.66,-70.95,97.58,214.10,3.55,397.51,556.08,369.16,499.65,387.64,137.30,0.00,0.00,133.09,306.51,271.39,2736.51,0.05
GE Shipping Co,500620,GESHIP,INE017A01032,Transport Services,Shipping,1379.60,1253.88,142.77,0.00,15081.80,1107.92,1055.09,17742.96,14893.67,0.00,6646.24,8082.75,23.45,2683.24,9340.64,1229.41,0.00,203.97,306.67,17742.96,8111.23,4.94,267.73,429.16,10.00,5437.88,29.74,297.08,14.28,3048.30,4658.19,8329.33,14802.72,59.21,2304.67,2130.32,1594.22,395.99,4655.46,5295.24,6213.34,6539.61,8876.54,9123.15,9808.53,19696.15,0.08
GEE,504028,,INE064H01021,Electrical Equipment,Other Electrical Equipment,61.00,78.92,10.40,0.00,187.56,81.16,0.23,316.15,219.95,71.42,52.96,168.03,0.32,0.15,140.21,108.01,0.00,0.02,15.51,316.15,32.20,0.00,73.46,54.22,2.00,1.85,2.44,27.00,5.20,81.61,39.81,171.44,218.93,0.01,48.00,31.08,23.66,22.14,76.95,58.76,55.66,52.96,147.01,128.37,129.71,317.06,0.40
GeeCee Vent.,532764,GEECEE,INE916G01016,Realty,"Residential, Commercial Projects",251.00,0.00,20.91,0.00,811.25,0.00,0.00,1377.11,49.93,196.75,19.87,27.40,0.00,412.29,955.32,488.00,0.00,261.47,42.90,1377.11,467.32,0.00,427.13,3.89,10.00,481.52,347.92,2.60,2.09,0.00,302.94,34.07,50.96,0.00,217.74,251.89,150.75,239.13,0.00,0.40,0.00,0.14,25.66,30.20,34.90,524.88,0.00
Gem Aromatics,544491,GEMAROMA,INE06XZ01023,Chemicals & Petrochemicals,Specialty Chemicals,167.00,143.77,10.45,0.00,444.77,222.37,2.48,658.06,75.17,0.00,20.73,216.85,25.14,0.00,396.78,175.72,0.00,0.00,186.49,658.06,221.06,2.28,226.44,92.98,2.00,34.68,0.07,47.72,4.69,111.91,166.73,49.60,64.62,30.36,101.47,,,,78.12,,,,35.75,,,872.36,0.32
General Insuranc,540755,GICRE,INE481Y01014,Insurance,General Insurance,362.25,1.37,877.20,0.00,69714.31,0.00,0.00,210595.16,484.05,0.00,165.40,325.77,0.00,155136.86,54048.89,111079.09,143280.23,0.00,26576.93,210595.16,-57030.20,0.00,0.00,0.00,5.00,26897.05,0.00,0.00,175.44,0.00,-51228.91,317.78,471.48,0.00,-45061.18,-32566.41,-20856.01,-19069.54,0.00,0.00,0.00,0.00,200.19,209.07,199.57,63553.13,0.00
Generic Engineer,539407,GENCON,INE854S01022,Realty,"Residential, Commercial Projects",43.10,67.56,26.52,0.00,260.15,58.07,9.06,477.79,165.80,0.00,61.69,97.17,12.70,0.01,346.30,181.69,0.01,0.00,86.93,477.79,164.61,8.22,78.16,123.61,5.00,16.36,3.65,81.07,5.30,67.67,143.09,91.00,141.70,4.58,80.80,80.67,72.01,0.25,52.17,40.57,12.22,0.90,95.58,75.27,27.91,245.62,0.23
Genesys Intl.,506109,GENESYS,INE727B01026,IT - Services,IT Enabled Services,259.00,146.69,20.89,0.00,662.49,84.56,37.60,920.24,419.39,0.00,291.62,264.91,3.62,0.00,601.64,210.72,0.00,0.00,59.04,920.24,390.92,10.19,0.00,209.38,5.00,105.07,3.06,33.94,3.95,59.52,222.47,155.90,387.71,112.74,48.99,71.38,68.68,56.75,26.50,16.02,23.79,11.55,138.18,202.85,216.80,1082.35,0.21
Geojit Fin. Ser.,532285,GEOJITFSL,INE007B01023,Capital Markets,Stockbroking & Allied,57.51,131.00,27.91,0.00,1139.59,110.59,45.24,2024.72,219.59,0.00,103.40,122.92,1.45,26.01,1132.77,615.19,0.00,0.00,655.54,2024.72,517.58,47.10,0.00,100.76,1.00,811.04,0.61,51.01,27.90,397.66,645.47,111.94,201.82,3.90,495.63,375.64,220.69,184.35,79.42,23.28,0.00,4.54,84.61,82.73,59.56,1605.20,0.11
