Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Average 5years dividend,Exports percentage 5Years back,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 7Years,Return on equity 5years growth,Average return on equity 10Years,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Debtor days 3years back,Average debtor days 3years,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 5Years,Historical PE 7Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Is not SME,Market Capitalization,Debt to equity
Kilitch Drugs,524500,KILITCH,INE729D01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,320.00,15.68,8.50,13.19,3.88,48.38,0.00,55.88,12.65,9.54,7.70,4.05,5.99,136.41,3.33,13.27,10.84,10139.00,0.00,132.35,149.13,108.61,4.27,5.69,32.62,41.74,35.77,40.18,276.77,134.57,115.62,38.33,27.13,0.00,0.00,1,559.39,0.31
KIOCL,540680,KIOCL,INE880L01014,Ferrous Metals,Sponge Iron,330.85,6.49,5.83,5.48,1.35,97.42,41.45,77.68,-5.40,4.73,5.10,3.59,2.70,,2.01,3.15,-0.41,35777.00,0.00,35.43,33.89,23.11,1.85,-5.06,679.20,87.12,55.50,75.00,12683.77,3681.80,13991.03,,88.39,0.00,-0.10,1,20107.43,0.11
Kiran Vyapar,537750,,INE555P01013,Finance,Non Banking Financial Company (NBFC),170.05,37.90,3.54,1.89,0.52,,3.24,,6.58,7.90,6.05,5.81,5.45,41.42,5.14,69.17,58.52,6107.00,4.25,4.64,5.78,24.75,6.15,5.01,9.40,7.26,7.40,8.21,381.98,138.47,370.79,183.00,78.17,0.00,0.00,1,463.96,0.16
Kiri Industries,532967,KIRIINDUS,INE415I01015,Chemicals & Petrochemicals,Dyes And Pigments,367.30,5.55,4.40,6.92,8.65,18.29,0.34,14.06,7.33,10.11,12.02,14.51,10.68,-16.82,13.59,1.09,8.53,33703.00,0.00,70.40,59.71,89.58,7.64,4.95,13.66,5.81,8.73,7.86,2537.80,917.34,1264.80,314.52,-45.65,-28.67,-0.11,1,2204.65,0.37
Kirl. Brothers,500241,KIRLOSBROS,INE732A01036,Industrial Products,"Compressors, Pumps & Diesel Engines",1513.05,2.77,2.44,3.30,3.94,5.91,37.32,7.52,25.53,20.55,17.40,13.82,14.97,22.79,11.60,10.99,8.12,71630.00,14.09,61.50,45.22,57.00,7.94,10.22,32.59,27.49,25.56,25.15,2247.67,689.27,2467.23,1509.57,33.75,4.49,1.37,1,12014.97,0.10
Kirl. Ferrous,500245,KIRLFER,INE884B01025,Ferrous Metals,Pig Iron,356.00,5.50,4.35,6.46,6.45,0.00,77.81,0.00,16.70,22.62,22.15,20.35,16.99,-10.14,16.35,14.46,13.50,109719.00,23.25,54.40,52.97,57.74,10.56,7.09,23.53,15.80,18.49,15.29,2980.33,598.84,1160.94,724.99,8.39,0.59,1.34,1,5871.21,0.36
Kirl.Pneumatic,505283,KIRLPNU,INE811A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",1043.90,3.61,3.36,4.13,4.82,2.54,38.17,2.94,23.17,20.42,19.15,18.29,15.02,14.21,14.33,15.28,14.11,48946.00,31.70,106.81,102.33,83.25,10.17,11.70,38.46,31.98,36.76,34.69,2630.01,606.57,963.00,701.38,72.44,6.17,-0.43,1,6780.33,0.00
KMC Speciality,524520,,INE879K01018,Healthcare Services,Hospital,80.69,12.70,9.39,16.85,12.80,0.00,0.00,0.00,21.91,24.57,26.40,27.23,22.78,-11.87,23.11,25.89,24.40,87875.00,0.00,9.50,9.56,7.97,14.71,12.90,46.86,43.58,46.06,42.60,907.57,204.18,292.74,46.48,-39.23,0.00,0.00,1,1316.07,0.47
KN Agri Resource,,KNAGRI,INE0KNW01016,Agricultural Food & other Products,Edible Oil,167.64,14.12,15.40,,,5.42,0.00,1.01,14.45,19.39,18.58,18.58,13.54,1.17,,3.06,,1391.00,0.00,2.52,17.88,1.63,11.64,7.92,13.74,12.68,12.68,12.68,382.11,,,,48.24,-0.11,-2.59,1,419.10,0.13
Knowledge Realty,544481,KRT,INE1JAR25012,Realty,Real Estate Investment Trusts (REITs),113.35,,,,,,,,11.68,11.68,11.68,11.68,,,,,,,0.00,,16.26,,,,,,,,,,,,-267.70,,,1,50263.91,0.07
KNR Construct.,532942,KNRCON,INE634I01029,Construction,Civil Construction,113.85,6.40,6.96,7.41,5.33,,7.03,,25.02,23.45,22.18,19.41,21.68,7.66,21.39,25.70,24.23,209987.00,1.05,60.57,60.75,26.00,11.22,13.34,11.38,16.48,15.94,14.76,7991.28,2762.79,3993.04,1193.69,102.74,1.55,-14.83,1,3201.86,0.49
Kody Technolab,,KODYTECH,INE0Q7P01013,IT - Software,Computers - Software & Consulting,694.75,,,,,76.04,,77.82,0.00,0.00,0.00,0.00,,,,,,2006.00,,,176.88,,,,60.90,60.90,60.90,60.90,,,,,61.69,,,0,885.64,0.03
Kokuyo Camlin,523207,KOKUYOCMLN,INE760A01029,Household Products,Stationary,75.60,2.51,1.55,2.33,3.13,3.14,2.01,3.27,10.90,5.99,6.14,6.00,3.84,3.84,3.50,5.83,5.66,31257.00,10.65,42.67,36.00,43.47,2.19,5.16,43.75,56.35,42.43,48.89,592.29,405.23,1165.53,734.22,52.38,-0.03,0.00,1,758.30,0.04
Kopran,524280,KOPRAN,INE082A01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,114.35,2.33,3.38,3.12,3.73,98.87,14.17,91.63,10.61,16.74,16.28,16.09,12.44,-8.66,12.81,13.33,12.69,60560.00,39.69,97.35,119.46,94.23,8.67,5.50,25.06,16.20,21.96,17.22,1354.48,109.86,238.11,187.02,127.74,0.02,-0.14,1,552.15,0.31
Kothari Indl,509732,,INE972A01020,Fertilizers & Agrochemicals,Fertilizers,163.80,4.40,6.73,,,,0.00,,-67.65,-43.47,-37.69,-37.69,,3.29,,-34.69,,50016.00,0.00,86.81,44.00,121.94,-38.53,-56.16,1.76,1.76,1.76,1.76,,,,,-284.24,0.00,-12.37,1,1769.41,0.04
Kothari Petroche,,KOTHARIPET,INE720A01015,Chemicals & Petrochemicals,Petrochemicals,110.00,11.35,9.90,22.32,17.26,15.28,3.55,30.79,33.72,32.32,28.73,24.55,23.18,5.11,21.34,14.00,11.86,41914.00,11.71,27.72,34.79,27.99,17.52,18.66,14.14,13.66,13.84,12.32,506.08,62.97,130.05,70.03,26.63,-0.07,0.00,1,647.31,0.01
Kothari Products,530299,KOTHARIPRO,INE823A01017,Commercial Services & Supplies,Trading & Distributors,64.00,641.45,42.64,30.00,31.45,79.20,0.00,90.22,-0.04,0.11,2.42,5.42,0.53,,2.16,-1.81,0.94,11517.00,0.00,135.68,213.13,186.63,-1.10,-0.88,20.69,8.26,20.72,18.78,381.66,102.39,438.97,399.39,232.24,0.00,0.00,1,382.01,0.23
KPIT Technologi.,542651,KPITTECH,INE04I401011,IT - Software,Computers - Software & Consulting,655.00,,1.25,1.37,,93.44,129.51,87.11,36.19,29.47,26.43,26.43,25.04,16.24,,19.47,,618571.00,29.05,55.74,55.84,75.95,13.75,15.93,66.37,49.82,58.26,49.82,16477.41,966.36,,,-28.81,-6.73,12.66,1,17956.41,0.16
KRBL,530813,KRBL,INE001B01026,Agricultural Food & other Products,Other Agricultural Products,286.45,1.07,0.95,1.04,1.45,34.27,72.00,47.52,16.19,16.74,17.90,18.55,14.29,-13.15,15.48,15.89,17.44,118298.00,11.85,25.08,23.49,18.68,10.78,10.58,13.40,13.91,12.80,12.25,4745.46,3173.06,10266.53,3918.06,252.82,2.62,0.64,1,6556.56,0.01
Krishival Foods,544416,KRISHIVAL,INE0GGO01015,Food Products,Other Food Products,319.50,3.71,2.25,,,0.46,0.28,,14.60,12.79,11.88,11.88,9.69,20.78,,12.09,,331.00,4.49,2.89,34.41,20.76,7.49,9.36,74.51,81.35,81.35,81.35,95.49,,,,252.42,0.80,1.33,1,854.26,0.19
Krishna Defence,,KRISHNADEF,INE0J5601015,Aerospace & Defense,Aerospace & Defense,851.00,1.46,0.95,,,0.46,0.14,,18.75,15.83,14.47,14.47,14.97,31.05,,15.01,,2929.00,1.07,161.20,93.36,179.26,7.56,10.22,57.57,53.37,53.37,53.37,,,,,132.38,0.06,1.20,1,1270.73,0.00
Kriti Industries,526423,KRITI,INE479D01038,Industrial Products,Plastic Products - Industrial,67.93,2.47,3.11,4.72,5.77,,0.60,,6.38,12.77,14.91,17.57,8.29,,9.48,5.39,6.07,12557.00,1.51,21.68,26.44,49.84,2.64,-0.64,35.79,18.17,19.25,16.95,529.73,53.57,277.26,32.24,8.38,0.05,0.00,1,357.97,0.46
Kriti Nutrients,533210,KRITINUT,INE798K01010,Agricultural Food & other Products,Edible Oil,62.98,15.70,17.95,13.35,12.43,14.71,1.21,13.93,26.08,22.85,25.28,26.90,20.44,-5.31,21.05,5.01,5.02,22210.00,4.47,5.61,7.09,15.78,14.13,16.76,12.87,12.83,14.25,12.62,298.37,75.66,234.23,28.81,25.60,0.00,0.00,1,315.55,0.03
KRN Heat Exchan,544263,KRN,INE0Q3J01015,Industrial Products,Other Industrial Products,875.00,,,,,9.60,,5.36,20.75,20.75,20.75,20.75,,,,,,73898.00,,,70.64,,,,86.47,86.47,86.47,86.47,,,,,107.36,,,1,5438.69,0.06
Kronox Lab,544187,KRONOX,INE0ATZ01017,Chemicals & Petrochemicals,Specialty Chemicals,108.35,7.37,6.61,,,30.38,0.74,26.48,48.45,49.27,49.27,49.27,,-2.41,,27.34,,38489.00,5.32,114.49,71.66,109.88,29.65,30.80,24.50,24.50,24.50,24.50,,,,,131.61,,,1,402.04,0.03
Kross Ltd,544253,KROSS,INE0O6601022,Auto Components,Auto Components & Equipments,166.20,3.99,2.20,,,,0.00,0.54,28.71,22.69,22.69,22.69,,35.07,,12.14,,88112.00,0.00,61.78,70.12,78.88,9.70,13.03,23.93,23.93,23.93,23.93,,,,,51.90,,,1,1072.14,0.13
Krsnaa Diagnost.,543328,KRSNAA,INE08LI01020,Healthcare Services,Healthcare Service Provider,579.70,0.75,0.78,8.47,,0.00,6.69,0.00,11.52,36.41,18.87,7.89,,,,26.91,18.64,52799.00,12.70,47.59,106.81,86.76,11.73,6.40,32.54,27.94,27.94,27.94,1534.40,,,,8.77,0.03,-5.56,1,1880.46,0.30
Krystal Integrat,544149,KRYSTAL,INE0QN801017,Commercial Services & Supplies,Diversified Commercial Services,540.80,5.39,36.20,16.17,,,0.84,,19.67,19.76,23.01,23.01,18.04,-10.49,,7.00,,28655.00,2.61,160.95,89.46,73.73,8.72,9.34,14.34,14.34,14.34,14.34,,,,,34.03,,,1,755.61,0.22
KSB,500249,KSB,INE999A01023,Industrial Products,"Compressors, Pumps & Diesel Engines",765.00,2.06,2.08,2.30,2.06,14.00,60.56,20.21,23.88,23.16,21.29,19.65,16.01,10.71,14.83,13.53,13.14,54962.00,28.54,80.86,97.09,80.59,10.65,11.05,54.73,36.82,46.27,38.00,6729.62,2242.51,2695.96,2165.43,88.15,1.29,1.10,1,13313.99,0.00
KSE,519421,,INE953E01022,Food Products,Animal Feed,189.85,9.05,10.06,12.00,11.73,0.01,16.00,0.01,18.31,25.19,21.80,26.45,17.95,19.58,20.66,3.67,3.50,6213.00,-62.12,0.27,0.30,0.10,15.57,11.34,8.61,15.11,11.62,11.75,678.24,352.00,839.20,226.56,23.32,-0.03,0.00,1,607.52,0.07
Ksolves India,543599,KSOLVES,INE0D6I01023,IT - Software,Computers - Software & Consulting,266.00,,,,,70.78,9.78,,175.31,166.25,166.25,166.25,,14.77,,40.07,,58588.00,40.17,71.81,60.17,0.00,84.04,83.29,32.78,29.74,29.74,29.74,420.15,,,,44.25,-0.04,0.01,1,630.97,0.08
Kwality Pharma,539997,,INE552U01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,1482.00,5.99,8.63,9.37,6.96,65.68,0.00,63.63,17.64,35.53,31.14,26.97,28.02,-3.78,26.94,24.78,20.51,8947.00,0.00,55.31,130.77,79.47,16.68,8.70,20.07,14.89,14.94,12.97,601.82,26.51,42.54,,105.56,0.50,0.32,1,1537.76,0.38
L G Balakrishnan,500250,LGBBROSLTD,INE337A01034,Auto Components,Auto Components & Equipments,1679.10,2.80,2.73,3.00,2.56,12.77,49.80,12.43,22.24,23.03,20.83,20.12,17.13,7.43,16.88,16.94,15.22,38613.00,20.62,51.01,45.78,41.31,12.52,12.68,14.90,14.03,13.60,12.62,1686.40,510.60,1662.63,868.93,38.02,-2.47,1.15,1,5355.05,0.09
L T Foods,532783,LTFOODS,INE818H01020,Agricultural Food & other Products,Other Agricultural Products,367.10,1.53,1.55,1.56,1.55,45.42,51.00,43.04,19.12,17.15,15.79,15.46,16.28,4.62,16.40,11.24,11.15,201008.00,11.54,41.11,32.95,54.69,8.56,9.41,19.91,10.03,12.15,9.72,2497.99,638.09,2718.68,262.65,101.40,3.61,6.33,1,12747.65,0.43
L. T. Elevator,544518,,INE0TJ801010,Industrial Manufacturing,Industrial Products,166.00,1.63,,,,,0.00,,24.97,19.92,19.92,19.92,,,,16.58,,,0.00,128.96,123.61,,,8.07,20.45,20.45,20.45,20.45,,,,,18.30,,,0,318.11,0.07
La Opala RG,526947,LAOPALA,INE059D01020,Consumer Durables,Glass - Consumer,179.10,2.59,1.55,1.67,1.95,15.58,58.39,13.76,18.73,16.80,17.68,20.98,13.18,-6.46,14.28,36.08,37.30,62289.00,72.74,36.69,28.44,59.24,11.23,12.53,29.21,35.82,33.71,32.24,3852.81,1637.81,3183.48,2102.12,72.01,-3.71,4.58,1,1988.02,0.01
Latent View,543398,LATENTVIEW,INE0I7C01011,IT - Software,Computers - Software & Consulting,259.80,,,,,97.39,0.00,96.17,15.70,18.26,19.43,19.43,14.47,-12.00,,25.69,,244434.00,0.00,74.93,70.25,62.10,13.62,11.62,53.14,51.92,51.92,51.92,8472.84,,,,105.55,2.40,2.37,1,5375.92,0.02
Laurus Labs,540222,LAURUSLABS,INE947Q01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,966.70,1.44,1.87,2.12,2.22,73.02,86.07,69.73,12.84,20.76,18.02,17.27,16.83,-13.49,16.64,24.27,22.84,292214.00,19.52,100.15,115.94,102.01,10.06,5.50,93.46,32.88,38.09,36.36,31709.57,3472.76,5331.22,,47.99,4.62,2.91,1,52187.97,0.46
Laxmi Dental,544339,LAXMIDENTL,INE0WO601020,Healthcare Equipment & Supplies,Medical Equipment & Supplies,170.80,1.57,1.42,,,,0.00,,12.87,8.23,8.23,8.23,,34.57,,10.60,,,0.00,54.33,49.69,64.31,4.04,9.98,50.89,50.89,50.89,50.89,,,,,8.04,,,1,938.74,0.04
Laxmi Organic,543277,LXCHEM,INE576O01020,Chemicals & Petrochemicals,Specialty Chemicals,116.35,7.99,7.18,7.56,8.24,35.20,15.06,29.09,9.75,14.99,15.13,16.40,11.32,-12.11,12.26,10.23,9.98,380059.00,12.19,79.10,71.51,85.50,6.95,4.51,56.78,53.11,53.11,53.11,10530.69,,,,20.31,1.15,1.75,1,3224.62,0.17
Le Travenues,544192,IXIGO,INE0HV901016,Leisure Services,"Tour, Travel Related Services",164.20,,,,,,0.00,,9.14,6.45,-15.66,-15.66,,,,5.00,,84954.00,0.00,8.29,12.90,13.97,3.59,6.12,123.23,123.23,123.23,123.23,,,,,-27.43,,,1,7186.86,0.04
Leela Palaces Hotels,544408,THELEELA,INE0AQ201015,Leisure Services,Hotels & Resorts,390.00,,,,,,,,21.23,21.23,21.23,21.23,,,,,,,0.00,,25.80,,,,39.26,39.26,39.26,39.26,,,,,-602.24,,,1,13024.36,0.28
Lehar Footwears,532829,,INE976H01018,Consumer Durables,Footwear,198.25,2.27,2.68,1.97,2.56,4.04,0.43,8.03,9.98,8.54,8.08,8.34,5.49,142.70,5.33,8.08,8.85,5159.00,9.75,106.07,117.78,128.46,2.48,3.37,35.78,28.86,34.29,33.85,44.73,22.43,47.88,33.72,55.21,0.00,0.00,1,350.47,0.46
Lenskart Solut.,544600,LENSKART,INE956O01016,Retailing,Speciality Retail,487.90,2.70,,,,,0.00,,2.34,0.97,0.97,0.97,,,,9.63,,,0.00,20.78,18.98,,,0.52,140.90,140.90,140.90,140.90,,,,,20.79,,,1,84719.70,0.45
LG Electronics,544576,LGEINDIA,INE324D01010,Consumer Durables,Household Appliances,1504.20,4.70,4.04,,,4.60,1635.41,3.73,46.67,40.50,40.50,40.50,,9.27,,11.60,,,107.85,29.95,31.21,11.63,16.08,17.95,48.23,48.23,48.23,48.23,,,,,7.17,,,1,102100.95,0.07
Life Insurance,543526,LICI,INE0J1Y01017,Insurance,Life Insurance,755.45,,,,,,3352.25,,89.61,81.86,69.08,69.08,64.38,-31.32,,3.13,,2375396.00,12.15,0.00,0.00,0.00,0.54,0.84,12.15,13.53,13.53,13.53,,,,,40.17,0.03,0.42,1,477821.98,0.00
Likhami Consult.,539927,,INE920T01011,Commercial Services & Supplies,Consulting Services,400.00,,,,,0.00,0.00,0.00,0.71,0.57,0.45,0.30,0.32,,0.17,34.49,19.25,1073.00,0.00,314.07,278.04,102.20,0.44,0.53,1517.86,1245.18,1333.33,1333.33,62.68,49.75,39.80,,4105.39,0.00,0.00,1,398.00,0.00
Likhitha Infra.,543240,LIKHITHA,INE060901027,Construction,Civil Construction,137.45,1.35,0.42,2.16,8.94,,5.13,,32.10,33.29,37.32,38.40,25.05,-9.57,25.13,21.07,19.92,59925.00,9.12,96.21,67.40,37.01,21.43,20.66,17.55,17.02,17.21,17.02,571.68,,,,156.12,-0.24,0.00,1,542.23,0.00
Linc,531241,LINC,INE802B01027,Household Products,Stationary,100.00,3.79,2.41,3.45,3.16,20.54,5.29,18.66,25.84,17.01,15.70,15.80,13.03,3.35,13.05,9.98,9.44,20068.00,21.58,35.10,33.95,40.49,9.24,14.02,24.59,27.01,26.78,26.74,419.60,213.72,621.13,216.02,56.45,0.78,0.00,1,594.89,0.08
Lincoln Pharma.,531633,LINCOLN,INE405C01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,592.90,3.80,4.36,4.47,11.49,57.09,3.24,60.86,20.42,22.05,22.16,21.41,16.32,-6.22,16.48,18.17,16.69,31848.00,4.12,89.63,98.89,95.71,13.37,12.69,13.25,11.00,12.11,10.44,622.12,258.50,425.60,127.88,119.36,3.26,0.01,1,1187.56,0.00
LKP Finance,507912,,INE724A01017,Finance,Other Financial Services,163.15,,,0.00,0.02,,2.26,,7.97,13.36,10.06,10.34,9.71,15.70,9.53,74.74,50.48,7012.00,5.14,10.44,9.07,219.83,10.38,5.93,8.08,11.05,5.27,7.55,136.86,82.18,209.41,99.07,171.29,0.87,4.64,1,1253.13,0.10
Lloyds Enterpris,512463,LLOYDSENT,INE080I01025,Metals & Minerals Trading,Trading - Metals,43.37,0.50,,,,,12.72,,6.50,4.24,2.87,1.84,2.28,76.53,1.79,9.06,7.51,55962.00,19.73,79.00,54.26,384.21,3.19,4.89,57.85,70.95,60.09,63.96,835.05,149.05,170.93,488.20,120.45,0.60,-0.28,1,6472.65,0.20
Lodha Developers,543287,LODHA,INE670K01029,Realty,"Residential, Commercial Projects",762.10,0.00,0.00,0.00,0.00,0.04,148.82,0.29,11.81,10.52,9.95,9.84,13.48,-3.01,14.02,25.46,23.16,94623.00,16.53,25.50,25.79,23.30,3.17,3.91,50.85,47.31,47.31,47.31,54226.53,,,,429.69,4.07,-0.31,1,76127.32,0.45
Lotus Eye Hospit,532998,LOTUSEYE,INE947I01017,Healthcare Services,Hospital,106.00,3.16,2.90,3.25,3.38,0.00,0.62,0.00,6.77,6.43,5.50,4.35,3.77,-15.63,3.14,12.69,11.62,11734.00,8.50,5.82,9.45,5.94,3.92,4.03,71.55,54.18,44.72,42.65,110.22,47.62,57.40,26.10,7.15,0.01,0.02,1,220.44,0.08
Lux Industries,539542,LUXIND,INE150G01020,Textiles & Apparels,Garments & Apparels,938.35,1.00,1.37,1.74,2.34,6.98,13.15,6.75,12.40,21.52,24.29,23.72,17.68,-20.68,18.58,13.21,13.49,72629.00,6.37,102.17,120.71,95.92,12.08,6.79,30.87,30.49,27.37,26.25,6588.56,2386.28,4296.80,,160.87,-0.99,-5.30,1,2821.78,0.29
M & B Engineer.,544470,MBEL,INE08N601015,Construction,Civil Construction,253.90,3.01,2.29,,,11.92,0.00,8.18,23.48,19.60,19.60,19.60,,25.99,,9.14,,,0.00,63.71,61.41,66.11,5.72,7.99,22.75,22.75,22.75,22.75,,,,,24.52,,,1,1451.01,0.19
M K Exim India,538890,,INE227F01010,Retailing,Distributors,52.10,4.37,5.16,4.65,14.10,28.76,0.40,37.75,30.91,32.93,26.38,19.58,21.60,14.22,18.23,21.83,16.50,14552.00,4.39,68.53,71.50,143.30,22.21,21.01,16.38,16.05,16.24,15.83,246.44,15.10,5.77,6.48,205.91,-0.21,0.00,1,210.32,0.02
Maan Aluminium,532906,MAANALU,INE215I01027,Non - Ferrous Metals,Aluminium,130.70,13.89,14.34,60.25,10.58,27.51,1.25,24.81,26.64,25.17,23.68,20.38,24.01,-8.43,22.54,5.68,4.52,33575.00,2.71,46.34,44.36,26.75,14.32,15.54,24.76,11.18,14.93,9.50,181.98,19.01,70.04,10.23,34.64,-0.23,1.42,1,784.00,0.44
Mach Conferences,544248,,INE0UYT01018,Other Consumer Services,Other Consumer Services,113.75,,,,,,,,46.91,46.91,46.91,46.91,,,,,,2085.00,0.00,184.39,40.25,,,20.26,17.44,17.44,17.44,17.44,,,,,30.52,,,0,239.30,0.05
Macpower CNC,,MACPOWER,INE155Z01011,Industrial Manufacturing,Industrial Products,853.45,1.96,1.47,2.53,3.58,0.00,1.20,0.00,25.37,21.79,20.82,21.86,15.99,37.05,16.43,12.63,11.18,17699.00,7.92,11.46,34.61,14.51,10.24,12.34,36.61,24.04,28.70,25.53,227.40,34.31,147.06,,93.22,-4.76,-1.26,1,853.79,0.01
Madala Holdings,532344,,INE002B01016,Realty,Real Estate related services,185.10,,,,,0.00,0.00,0.00,9.01,6.86,5.99,4.65,4.24,14.58,3.17,24.79,21.74,2455.00,0.00,50.62,67.09,66.62,4.46,5.47,39.05,32.25,36.76,34.11,286.26,43.29,54.82,81.53,18.93,0.00,0.00,1,273.28,0.00
Madhuveer Com,531910,,INE312M01016,Entertainment,"Film Production, Distribution & Exhibition",199.00,,,,,,0.00,,4.23,3.91,2.36,2.06,0.86,,,12.17,,1460.00,0.00,200.75,435.89,,1.80,2.18,149.07,149.98,149.07,149.07,4.73,1.18,1.26,2.16,7377.01,0.00,0.00,1,507.07,0.06
Mafatlal Inds.,500264,,INE270B01035,Textiles & Apparels,Other Textile Products,114.95,17.22,8.30,6.10,6.92,3.71,1.44,6.53,7.44,2.95,1.24,1.47,-0.48,34.05,-1.15,1.36,0.63,54690.00,2.45,92.59,83.49,92.45,0.59,3.97,10.73,12.87,10.69,10.83,245.84,86.65,363.31,214.37,-14.48,0.41,-2.11,1,829.57,0.08
Magadh Sugar,540650,MAGADSUGAR,INE347W01011,Agricultural Food & other Products,Sugar,448.35,1.33,1.00,0.95,,0.00,12.68,3.43,12.01,10.62,10.73,8.84,10.91,-0.64,11.15,14.94,,12028.00,17.96,17.90,10.36,3.50,4.63,6.00,8.96,7.62,9.54,8.47,443.74,92.44,119.14,,19.87,0.12,-0.10,1,631.81,0.41
Magna Electrocas,517449,,INE437D01010,Industrial Products,Castings & Forgings,914.90,6.73,5.07,5.94,6.03,43.93,1.52,48.72,23.15,18.59,18.22,17.48,14.32,15.95,14.17,14.89,14.66,5114.00,10.80,105.22,96.53,91.40,10.87,13.61,15.96,12.28,14.29,13.34,84.54,46.33,74.41,51.96,72.94,0.00,0.05,1,387.18,0.09
Mah. Seamless,500265,MAHSEAMLES,INE271B01025,Industrial Products,Iron & Steel Products,544.50,2.60,1.79,3.27,1.69,5.03,78.39,25.06,19.82,16.27,15.65,12.49,13.52,19.73,11.29,18.08,17.75,129024.00,13.36,48.27,40.43,49.80,11.59,13.48,9.94,10.00,9.64,9.11,3695.45,1297.12,2837.45,1320.97,133.04,6.43,-0.85,1,7295.84,0.00
Mahamaya Steel,513554,MAHASTEEL,INE451L01014,Industrial Products,Iron & Steel Products,946.00,7.75,3.38,5.80,,,0.00,,6.58,6.08,6.40,6.52,3.86,15.00,1.63,2.58,3.27,7603.00,0.00,15.65,9.44,17.22,2.11,2.63,65.05,40.31,29.61,31.10,114.96,89.77,84.34,51.36,21.46,1.17,0.00,1,1554.69,0.40
Mahanagar Gas,539957,MGL,INE002S01010,Gas,LPG/CNG/PNG/LNG Supplier,940.95,87.83,40.36,70.42,75.53,0.00,244.97,,28.76,27.22,29.98,31.05,22.05,-9.79,22.08,25.40,27.53,173905.00,23.78,18.87,17.22,8.40,14.50,15.38,11.77,14.50,12.36,12.98,7695.28,8084.47,9463.41,,-68.17,-4.84,5.22,1,9294.49,0.03
Mahindra EPC,523754,MAHEPC,INE215D01010,Industrial Manufacturing,Industrial Products,110.70,3.90,3.92,4.80,4.40,2.77,0.67,0.86,0.95,2.52,6.46,7.01,3.72,-21.71,4.29,2.23,5.09,27835.00,0.00,237.82,210.52,165.40,0.67,-0.37,113.76,41.93,46.95,26.75,252.64,206.56,357.18,447.01,171.79,0.00,0.00,1,309.32,0.21
Mahindra Life.,532313,MAHLIFE,INE813A01018,Realty,"Residential, Commercial Projects",326.75,0.00,0.00,0.00,0.00,0.01,30.20,,2.08,0.67,1.04,2.74,1.69,21.35,2.84,-36.11,-10.14,112386.00,49.25,85.22,132.73,68.33,0.71,1.23,100.41,37.77,89.28,77.51,7715.66,1247.93,2860.15,2839.60,1289.40,-3.26,3.87,1,6970.99,0.10
Maithan Alloys,590078,MAITHANALL,INE683C01011,Ferrous Metals,Ferro & Silica Manganese,894.15,2.98,3.75,5.89,5.59,74.50,23.29,55.87,21.74,28.24,27.64,30.55,20.81,7.37,22.20,20.46,18.79,39418.00,5.30,84.13,54.85,56.39,18.39,14.60,5.47,6.82,5.49,5.90,3865.00,1024.15,2289.48,293.47,121.96,-0.30,-0.53,1,2603.02,0.11
Majestic Auto,500267,,INE201B01022,Commercial Services & Supplies,Diversified Commercial Services,290.00,2.75,2.98,9.52,5.75,,8.32,1.27,6.76,6.76,7.36,5.81,3.23,17.47,1.78,58.24,43.04,7877.00,135.93,13.87,2.48,14.99,2.32,2.10,23.51,12.38,16.85,11.72,134.49,61.35,149.10,56.56,-190.52,0.00,0.00,1,301.60,0.02
Mallcom (India),539400,MALLCOM,INE389C01015,Industrial Products,Other Industrial Products,1000.00,2.97,2.69,2.81,4.22,59.92,1.87,65.31,17.24,18.85,18.85,17.42,17.64,-4.39,17.04,13.47,11.84,8684.00,4.49,70.92,57.67,28.18,10.76,9.86,19.57,15.45,17.52,15.68,472.43,86.99,185.14,,46.91,0.00,0.00,1,624.00,0.37
Mamata Machinery,544318,MAMATA,INE0TO701015,Industrial Manufacturing,Industrial Products,359.35,1.33,1.23,,,68.25,0.33,68.25,29.72,30.68,30.68,30.68,,60.45,,17.38,,65272.00,1.35,31.00,44.94,49.87,12.99,13.96,23.73,23.73,23.73,23.73,,,,,25.32,,,1,884.28,0.04
