Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Average 5years dividend,Exports percentage 5Years back,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 7Years,Return on equity 5years growth,Average return on equity 10Years,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Debtor days 3years back,Average debtor days 3years,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 5Years,Historical PE 7Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Is not SME,Market Capitalization,Debt to equity
Concord Control,543619,,INE0N0J01014,Industrial Manufacturing,Industrial Products,1996.70,5.51,5.52,,,,0.00,,42.53,39.04,39.04,39.04,,-1.80,,20.78,,1328.00,0.00,34.08,86.84,89.18,21.80,25.32,52.67,48.24,48.24,48.24,,,,,111.74,-6.44,-3.94,0,2073.24,0.13
Concord Enviro,544315,CEWATER,INE037Z01029,Other Utilities,Waste Management,280.40,1.10,1.24,,,22.48,0.00,25.52,15.43,13.51,13.51,13.51,,,,17.68,,60160.00,0.00,142.40,115.09,141.36,4.33,4.91,18.81,18.81,18.81,18.81,,,,,97.78,,,1,580.31,0.30
Connplex Cinemas,,CONNPLEX,INE0EAS01014,Entertainment,"Film Production, Distribution & Exhibition",231.00,,,,,,,,210.83,210.83,210.83,210.83,,,,,,,0.00,46.56,30.29,,,19.40,17.25,17.25,17.25,17.25,,,,,40.83,,,0,441.21,0.01
Cons. Finvest,,CONSOFINVT,INE025A01027,Finance,Non Banking Financial Company (NBFC),221.87,,,,,0.00,0.00,0.00,26.75,16.78,12.40,10.03,12.56,49.83,13.28,96.82,94.54,19746.00,0.00,0.00,0.00,0.00,12.61,20.19,6.08,28.90,11.44,22.70,449.22,72.41,207.05,116.70,4.49,0.10,0.00,1,718.07,0.00
Container Corpn.,531344,CONCOR,INE111A01025,Transport Services,Logistics Solution Provider,431.75,0.46,0.50,0.48,1.37,,584.93,,13.79,12.34,13.09,13.71,9.95,3.47,10.30,21.50,22.35,318196.00,55.88,8.67,13.38,9.20,7.99,9.03,35.83,34.07,38.99,35.79,40952.76,20206.77,30344.43,30877.30,-11.68,-15.04,11.25,1,32882.85,0.07
Control Print,522295,CONTROLPR,INE663B01015,IT - Hardware,Computers Hardware & Equipments,614.00,1.56,1.22,0.98,0.78,2.82,14.73,2.72,21.68,20.26,19.66,20.86,18.26,12.52,18.44,22.71,24.17,26572.00,23.43,89.39,83.56,93.03,14.65,16.61,22.03,17.39,18.71,16.31,583.04,304.18,702.18,196.74,133.86,-1.96,-10.48,1,982.05,0.02
Coromandel Inter,506395,COROMANDEL,INE169A01031,Fertilizers & Agrochemicals,Fertilizers,1880.00,4.65,3.78,3.48,3.88,5.07,335.12,5.20,29.15,30.82,28.96,25.82,23.10,-9.52,22.42,11.01,10.83,140959.00,16.56,5.06,16.31,48.18,13.14,12.16,30.58,18.54,18.15,17.85,23467.97,16001.13,15354.51,7818.62,36.15,3.53,-1.31,1,55462.73,0.12
Corona Remedies,544644,CORONA,INE02ZQ01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,1611.20,2.87,5.44,,,,16.86,,28.47,22.66,23.86,23.86,20.10,2.16,,15.11,,,25.00,43.96,35.99,105.16,11.97,15.03,61.35,61.35,61.35,61.35,,,,,12.38,,,1,9854.11,0.10
Cosmic CRF,543928,,INE0ORA01015,Industrial Products,Iron & Steel Products,632.00,,,,,,,,0.00,0.00,0.00,0.00,,,,,,1724.00,,,94.26,,,,42.40,42.40,42.40,42.40,,,,,75.19,,,0,580.67,0.27
Covance Softsol,544361,,INE0R8101016,IT - Software,Computers - Software & Consulting,171.30,,,,,,,,8.01,8.01,8.01,8.01,,,,,,,,,73.71,,,,14.11,14.11,14.11,14.11,,,,,-1.03,,,1,379.35,0.00
